ProjectID,BuildingID,AffordabilityBand,TotalUnits
47805,59207,Very Low Income,4
47838,379255,Low Income,7
47838,321654,Low Income,4
47838,322621,Low Income,3
47838,322622,Low Income,3
47838,357508,Low Income,8
47838,308509,Low Income,2
47838,378847,Low Income,8
47838,321766,Low Income,6
47838,322548,Low Income,2
47841,59988,Low Income,38
47841,59988,Other,1
47850,63568,Low Income,8
47850,63568,Moderate Income,2
47850,63567,Low Income,5
47850,63567,Other,1
47850,63567,Very Low Income,5
47858,65623,Low Income,26
47858,65623,Moderate Income,1
47861,396594,Low Income,6
47861,396594,Very Low Income,2
47862,112023,Extremely Low Income,1
47862,112023,Low Income,13
47862,112023,Other,1
47862,112023,Very Low Income,22
47868,42098,Low Income,12
47878,19629,Moderate Income,9
47888,20827,Low Income,10
47948,49241,Low Income,10
47960,114432,Low Income,15
47960,51236,Low Income,35
47960,51236,Other,1
47960,59221,Low Income,29
47960,59221,Other,1
47960,81557,Low Income,43
47960,81557,Other,1
47962,60640,Low Income,10
47962,60640,Very Low Income,1
47962,109771,Low Income,16
47962,109771,Other,1
47962,109771,Very Low Income,14
48002,396127,Very Low Income,4
48002,302967,Low Income,1
48002,302967,Very Low Income,4
48002,396200,Low Income,2
48002,396200,Very Low Income,1
48002,303867,Very Low Income,6
48002,340299,Low Income,2
48002,340299,Very Low Income,3
48002,398316,Very Low Income,3
48002,377625,Low Income,1
48002,377625,Very Low Income,4
48002,303837,Low Income,1
48002,303837,Very Low Income,4
48002,230079,Low Income,2
48002,230079,Very Low Income,3
48002,210828,Low Income,1
48002,210828,Very Low Income,2
48002,398306,Very Low Income,2
48003,90415,Low Income,119
48003,90415,Other,1
48011,45506,Low Income,53
48011,45506,Moderate Income,6
48011,45506,Other,1
48012,939257,Other,1
48012,939257,Very Low Income,85
48013,60061,Low Income,3
48013,60061,Other,1
48013,60061,Very Low Income,13
48013,60014,Low Income,19
48013,60014,Other,1
48013,60013,Low Income,23
48013,60013,Very Low Income,1
48013,59349,Low Income,4
48014,113781,Low Income,14
48014,88674,Low Income,16
48038,35779,Low Income,14
48038,35779,Other,1
48038,35779,Very Low Income,14
48049,38114,Low Income,6
48049,38114,Other,1
48049,38114,Very Low Income,3
48049,41031,Low Income,2
48049,41031,Very Low Income,3
48049,28357,Low Income,7
48049,28357,Very Low Income,3
48049,42401,Low Income,8
48049,42401,Very Low Income,3
48049,2630,Low Income,12
48049,2630,Moderate Income,4
48049,2630,Very Low Income,8
48128,41096,Moderate Income,20
48128,41096,Other,1
48128,38344,Middle Income,6
48128,38344,Very Low Income,10
48128,40553,Low Income,9
48128,40553,Other,1
48128,40553,Very Low Income,11
48128,40547,Low Income,6
48128,40547,Other,1
48128,40547,Very Low Income,3
48128,38996,Middle Income,20
48128,38996,Other,1
48128,40557,Low Income,6
48128,40557,Other,1
48128,40557,Very Low Income,4
48132,21283,Extremely Low Income,1
48132,21283,Low Income,6
48132,21283,Very Low Income,9
48132,28239,Low Income,26
48132,28239,Very Low Income,16
48132,5653,Low Income,5
48132,5653,Very Low Income,4
48143,5813,Low Income,9
48143,5813,Very Low Income,7
48143,5781,Low Income,1
48143,5781,Other,1
48143,5781,Very Low Income,11
48143,3615,Low Income,13
48143,3615,Very Low Income,3
48143,4160,Low Income,7
48143,4160,Very Low Income,6
48254,316613,Low Income,12
48254,316613,Middle Income,6
48607,92694,Low Income,8
48607,92694,Other,1
48607,65790,Low Income,36
48607,65790,Other,1
48607,80080,Low Income,42
48607,80080,Other,1
48607,87863,Low Income,48
48607,87863,Other,1
48608,38692,Low Income,18
48608,38692,Other,1
48608,38692,Very Low Income,4
48608,40238,Low Income,4
48608,39109,Low Income,4
48608,40005,Low Income,15
48608,40005,Other,1
48608,40005,Very Low Income,3
48608,39958,Low Income,47
48608,39958,Other,1
48608,39958,Very Low Income,8
48608,23493,Low Income,8
48608,23493,Very Low Income,2
48608,40005,Low Income,9
48621,120999,Low Income,11
48621,120999,Very Low Income,10
48621,120994,Low Income,24
48621,120994,Other,1
48621,120994,Very Low Income,15
48621,100201,Low Income,3
48621,100201,Very Low Income,1
48624,326470,Low Income,5
48624,326470,Moderate Income,1
48624,330826,Low Income,4
48624,330826,Moderate Income,4
48624,376539,Low Income,15
48624,376539,Other,1
48624,380356,Low Income,5
48624,380356,Moderate Income,1
48624,366365,Low Income,12
48624,376557,Low Income,19
48624,376557,Moderate Income,12
48624,376543,Low Income,16
48625,339245,Low Income,4
48625,339245,Very Low Income,4
48625,362389,Low Income,18
48625,362389,Very Low Income,1
48625,338754,Low Income,13
48625,338754,Other,1
48625,338754,Very Low Income,6
48625,232147,Low Income,4
48625,849296,Low Income,28
48625,849296,Other,1
48625,849296,Very Low Income,3
48626,197987,Low Income,4
48626,197987,Moderate Income,4
48626,214946,Low Income,3
48626,214946,Moderate Income,5
48626,359983,Moderate Income,2
48626,363723,Low Income,5
48626,363723,Moderate Income,3
48632,5374,Low Income,24
48632,5381,Low Income,25
48632,5381,Other,1
48632,5376,Low Income,25
48632,5379,Low Income,24
48632,5379,Moderate Income,1
48634,803993,Extremely Low Income,1
48634,803993,Low Income,16
48634,803993,Very Low Income,8
48634,5380,Extremely Low Income,2
48634,5380,Low Income,13
48634,5380,Moderate Income,4
48634,5380,Other,1
48634,5380,Very Low Income,6
48638,33874,Extremely Low Income,39
48638,33874,Low Income,14
48638,33874,Low Income,56
48639,945946,Low Income,60
48639,945946,Other,1
48639,945946,Very Low Income,94
48640,945034,Low Income,13
48640,945034,Very Low Income,30
48641,967101,Low Income,40
48641,967101,Very Low Income,15
48643,972670,Extremely Low Income,58
48643,972670,Other,1
48644,948176,Low Income,96
48644,948176,Other,1
48644,948176,Very Low Income,11
48646,375,Extremely Low Income,202
48646,375,Other,1
48647,976517,Extremely Low Income,96
48647,976517,Low Income,64
48647,976517,Other,1
48650,11915,Extremely Low Income,18
48657,88527,Low Income,45
48657,88527,Very Low Income,4
48657,115745,Low Income,65
48657,115745,Very Low Income,4
48657,88530,Low Income,59
48657,88530,Other,1
48657,118659,Low Income,10
48660,65833,Low Income,11
48660,65833,Other,1
48660,65833,Very Low Income,12
48660,74399,Other,1
48660,74399,Very Low Income,8
48660,65832,Low Income,12
48660,65832,Very Low Income,12
48660,119759,Low Income,2
48660,119759,Very Low Income,6
48660,48245,Low Income,8
48660,48245,Very Low Income,7
48660,119798,Low Income,19
48660,119798,Very Low Income,15
48676,42818,Low Income,17
48676,42818,Middle Income,3
48676,42815,Low Income,11
48676,42815,Middle Income,9
48676,42813,Low Income,14
48676,42813,Middle Income,1
48677,806394,Low Income,8
48677,58933,Low Income,8
48677,806497,Low Income,8
48677,58929,Low Income,12
48678,88544,Low Income,8
48678,58930,Low Income,4
48678,58944,Low Income,10
48678,125023,Low Income,7
48678,940965,Low Income,3
48679,63052,Low Income,17
48679,63052,Middle Income,3
48679,63059,Low Income,7
48679,63059,Middle Income,3
48679,63059,Other,1
48679,63053,Low Income,16
48679,63053,Middle Income,4
48679,63053,Other,1
48679,63055,Low Income,6
48679,63055,Middle Income,4
48679,63057,Low Income,10
48679,63057,Other,1
48679,63054,Low Income,8
48679,63054,Middle Income,12
48679,63048,Low Income,18
48679,63048,Middle Income,2
48679,63048,Other,1
48681,375410,Low Income,9
48681,375409,Low Income,8
48681,375409,Middle Income,2
48681,375411,Low Income,9
48681,340340,Low Income,6
48681,340340,Middle Income,2
48683,18990,Low Income,33
48683,18990,Other,1
48683,18986,Low Income,36
48685,346832,Low Income,11
48685,346832,Other,1
48685,330794,Low Income,8
48685,346837,Low Income,7
48685,317155,Low Income,9
48685,381637,Low Income,3
48685,332710,Low Income,4
48686,32921,Low Income,307
48686,32921,Other,1
48688,814526,Low Income,4
48688,814533,Low Income,2
48688,814512,Low Income,2
48688,52798,Low Income,2
48688,814521,Low Income,2
48688,62690,Low Income,2
48688,814537,Low Income,2
48688,954321,Low Income,2
48688,954320,Low Income,2
48688,814535,Low Income,2
48688,814507,Low Income,2
48688,814524,Low Income,2
48688,814519,Low Income,2
48688,954324,Low Income,2
48688,814509,Low Income,2
48688,814510,Low Income,2
48688,814511,Low Income,2
48688,814536,Low Income,2
48688,814532,Low Income,4
48688,814531,Low Income,2
48688,814516,Low Income,4
48688,814520,Low Income,2
48688,954143,Low Income,2
48688,814530,Low Income,2
48688,814523,Low Income,2
48688,814515,Low Income,4
48688,814522,Low Income,2
48688,814508,Low Income,2
48688,814505,Low Income,2
48688,814514,Low Income,2
48688,814525,Low Income,4
48688,814534,Low Income,2
48688,814506,Low Income,2
48688,814528,Low Income,2
48688,814518,Low Income,2
48688,814529,Low Income,2
48688,814513,Low Income,2
48690,744417,Low Income,43
48704,806523,Low Income,31
48704,57040,Low Income,24
48704,57048,Low Income,11
48704,63982,Low Income,21
48726,943722,Middle Income,288
48726,943722,Other,207
48726,943722,Very Low Income,124
48729,90293,Low Income,14
48729,90293,Very Low Income,6
48729,122170,Low Income,89
48729,122170,Other,1
48729,46169,Low Income,21
48729,46169,Other,1
48729,46169,Very Low Income,33
48729,57116,Low Income,18
48729,57116,Other,1
48729,57116,Very Low Income,9
48730,118661,Low Income,12
48731,121087,Low Income,12
48731,104337,Low Income,11
48731,115690,Low Income,56
48731,115690,Other,1
48731,121088,Low Income,19
48731,121088,Other,1
48732,43250,Low Income,26
48733,386227,Low Income,5
48733,386227,Very Low Income,2
48735,39110,Moderate Income,8
48735,39419,Moderate Income,12
48735,39419,Other,1
48735,39419,Very Low Income,6
48735,1327,Moderate Income,5
48735,1327,Very Low Income,4
48735,20752,Moderate Income,7
48735,20752,Very Low Income,10
48746,353050,Low Income,8
48746,353050,Very Low Income,8
48752,110157,Very Low Income,137
48753,89051,Extremely Low Income,4
48753,89051,Low Income,7
48753,89051,Other,1
48753,89051,Very Low Income,73
48754,865282,Other,1
48754,865282,Very Low Income,68
48755,72098,Moderate Income,108
48760,45408,Extremely Low Income,1
48760,45408,Low Income,2
48760,45408,Very Low Income,19
48763,3607,Low Income,8
48763,7470,Low Income,14
48763,7470,Very Low Income,6
48763,4163,Low Income,7
48763,4163,Moderate Income,1
48763,42323,Low Income,7
48763,42323,Very Low Income,11
48765,85438,Low Income,21
48765,28117,Low Income,11
48765,19049,Low Income,8
48765,42524,Low Income,24
48765,28116,Low Income,11
48765,822049,Low Income,80
48765,26937,Low Income,17
48765,19048,Low Income,8
48765,24535,Low Income,34
48765,28118,Low Income,10
48765,313693,Low Income,32
48765,309680,Low Income,24
48765,313692,Moderate Income,28
48765,85441,Low Income,21
48765,19506,Low Income,21
48768,65052,Extremely Low Income,4
48768,65052,Low Income,6
48768,65052,Other,1
48768,65052,Very Low Income,121
48771,806301,Low Income,16
48771,806302,Low Income,17
48771,120450,Low Income,8
48771,50382,Low Income,20
48771,113800,Low Income,18
48771,64911,Low Income,15
48771,116824,Low Income,21
48771,64974,Low Income,20
48771,120452,Low Income,7
48771,120457,Low Income,11
48771,56847,Low Income,12
48771,56602,Low Income,12
48771,64901,Low Income,15
48771,806680,Low Income,24
48771,50377,Low Income,20
48771,116817,Low Income,25
48771,120458,Low Income,10
48771,116827,Low Income,22
48772,944105,Low Income,28
48772,944105,Very Low Income,19
48772,944107,Low Income,39
48772,944107,Very Low Income,25
48772,944106,Low Income,37
48772,944106,Other,1
48772,944106,Very Low Income,26
48787,215645,Very Low Income,16
48788,9827,Extremely Low Income,4
48788,9827,Very Low Income,8
48794,62836,Other,1
48794,62836,Very Low Income,9
48794,63883,Other,1
48794,63883,Very Low Income,12
48794,806338,Very Low Income,15
48794,52677,Very Low Income,14
48794,806337,Very Low Income,15
48794,62837,Extremely Low Income,2
48794,62837,Low Income,14
48794,62837,Other,1
48794,62837,Very Low Income,7
48794,902977,Other,1
48794,902977,Very Low Income,14
48870,116785,Low Income,139
48877,951065,Middle Income,1
48877,951337,Middle Income,1
48877,951041,Low Income,1
48877,951402,Middle Income,1
48877,951069,Middle Income,1
48877,951056,Middle Income,1
48877,951397,Middle Income,1
48877,951391,Low Income,1
48877,951318,Middle Income,1
48877,951097,Middle Income,1
48877,951387,Middle Income,1
48877,951325,Low Income,1
48877,951054,Middle Income,1
48877,951067,Middle Income,1
48877,951079,Low Income,1
48877,951335,Middle Income,1
48877,951333,Middle Income,1
48877,951099,Middle Income,1
48877,951076,Middle Income,1
48877,951323,Low Income,1
48877,951326,Low Income,1
48877,951332,Middle Income,1
48877,951028,Middle Income,1
48877,951087,Moderate Income,1
48877,951063,Middle Income,1
48877,951390,Low Income,1
48877,951389,Low Income,1
48877,951071,Middle Income,1
48877,951330,Moderate Income,1
48877,951322,Low Income,1
48877,951031,Low Income,1
48877,950994,Middle Income,1
48877,951105,Middle Income,1
48877,951047,Low Income,1
48877,951396,Moderate Income,1
48877,951050,Moderate Income,1
48877,951073,Middle Income,1
48877,951327,Moderate Income,1
48877,951400,Middle Income,1
48877,951060,Middle Income,1
48877,951039,Low Income,1
48877,951081,Low Income,1
48877,951331,Middle Income,1
48877,951033,Middle Income,1
48877,951083,Low Income,1
48877,951328,Moderate Income,1
48877,951034,Middle Income,1
48877,951401,Middle Income,1
48877,951089,Moderate Income,1
48877,951091,Middle Income,1
48877,951024,Low Income,1
48877,951052,Moderate Income,1
48877,951321,Low Income,1
48877,951032,Moderate Income,1
48877,951394,Moderate Income,1
48877,951085,Moderate Income,1
48877,951093,Middle Income,1
48877,951035,Low Income,1
48877,951320,Low Income,1
48877,951045,Low Income,1
48877,951324,Low Income,1
48877,951388,Low Income,1
48877,951037,Low Income,1
48877,951338,Middle Income,1
48877,951043,Low Income,1
48877,951058,Middle Income,1
48877,951334,Middle Income,1
48877,951103,Middle Income,1
48877,951101,Middle Income,1
48877,951339,Middle Income,1
48877,951107,Middle Income,1
48877,951392,Low Income,1
48877,951399,Middle Income,1
48877,951336,Middle Income,1
48877,951095,Middle Income,1
48877,951393,Moderate Income,1
48877,951319,Low Income,1
48877,951455,Moderate Income,1
48877,951329,Moderate Income,1
48877,951398,Middle Income,1
48877,951395,Moderate Income,1
48879,954108,Low Income,17
48879,954108,Moderate Income,66
48879,954108,Other,1
48885,805280,Low Income,2
48885,805280,Very Low Income,116
48885,804640,Extremely Low Income,1
48885,804640,Low Income,1
48885,804640,Very Low Income,116
48885,804639,Extremely Low Income,1
48885,804639,Low Income,4
48885,804639,Very Low Income,113
48885,1182,Very Low Income,118
48885,805394,Very Low Income,115
48885,804648,Low Income,3
48885,804648,Very Low Income,115
48885,804824,Low Income,1
48885,804824,Very Low Income,117
48885,804823,Very Low Income,118
48885,805281,Very Low Income,114
48885,804717,Very Low Income,115
48885,805279,Very Low Income,116
48885,804647,Low Income,1
48885,804647,Very Low Income,117
48885,804638,Very Low Income,116
48885,1946,Very Low Income,114
48886,67110,Low Income,3
48886,67110,Other,1
48886,67110,Very Low Income,10
48886,117122,Low Income,6
48886,117122,Very Low Income,4
48886,117124,Low Income,6
48886,117124,Very Low Income,4
48886,66855,Low Income,9
48886,66855,Other,1
48886,66855,Very Low Income,17
48886,51243,Extremely Low Income,2
48886,51243,Low Income,16
48886,51243,Other,1
48886,51243,Very Low Income,30
48886,66882,Low Income,5
48886,66882,Middle Income,1
48886,66882,Very Low Income,5
48886,117114,Low Income,10
48886,117114,Very Low Income,1
48887,57693,Very Low Income,17
48889,809793,Low Income,183
48889,809793,Very Low Income,131
48889,809804,Low Income,177
48889,809804,Very Low Income,135
48889,809794,Low Income,158
48889,809794,Very Low Income,160
48889,342209,Low Income,183
48889,342209,Very Low Income,135
48889,809803,Low Income,183
48889,809803,Very Low Income,131
48890,59889,Low Income,45
48891,88316,Low Income,16
48891,88316,Very Low Income,11
48892,53714,Low Income,2
48892,53714,Very Low Income,9
48895,806380,Low Income,9
48895,806380,Very Low Income,3
48895,806382,Low Income,10
48895,806382,Very Low Income,2
48895,806379,Low Income,10
48895,806379,Very Low Income,2
48895,806381,Extremely Low Income,1
48895,806381,Low Income,10
48895,806381,Very Low Income,1
48895,806384,Low Income,9
48895,806384,Very Low Income,3
48895,806383,Low Income,9
48895,806383,Very Low Income,3
48895,57674,Low Income,9
48895,57674,Very Low Income,3
48896,216940,Extremely Low Income,97
48896,216940,Low Income,37
48896,216940,Very Low Income,1
48897,8023,Very Low Income,16
48898,822634,Low Income,135
48899,805574,Low Income,378
48899,805585,Low Income,186
48899,4371,Low Income,186
48899,31596,Low Income,378
48899,4633,Low Income,186
48899,805584,Low Income,378
48899,803934,Low Income,378
48899,4623,Low Income,186
48899,4636,Low Income,378
48899,4360,Low Income,186
48902,88267,Low Income,1
48902,88267,Very Low Income,14
48906,948178,Extremely Low Income,182
48906,948178,Low Income,110
48906,948178,Other,1
48908,358597,Extremely Low Income,6
48908,358597,Low Income,2
48908,330827,Extremely Low Income,4
48908,330827,Low Income,4
48908,139704,Extremely Low Income,2
48908,139704,Middle Income,6
48908,307271,Low Income,5
48908,307271,Moderate Income,1
48908,375049,Low Income,4
48908,375084,Extremely Low Income,3
48908,375084,Very Low Income,5
48908,352128,Extremely Low Income,7
48908,352128,Low Income,2
48908,352128,Very Low Income,7
48908,330823,Extremely Low Income,1
48908,330823,Low Income,1
48908,330823,Very Low Income,6
48908,375083,Extremely Low Income,6
48908,375083,Low Income,2
48909,947309,Low Income,93
48909,947309,Other,1
48909,947309,Very Low Income,7
48910,946091,Other,1
48910,946091,Very Low Income,78
48928,806389,Moderate Income,314
48928,806390,Moderate Income,314
48928,109464,Moderate Income,312
48928,806388,Moderate Income,313
48928,97290,Low Income,26
48928,97290,Moderate Income,287
48928,806181,Moderate Income,312
48937,21460,Middle Income,7
48937,21460,Moderate Income,12
48940,42095,Extremely Low Income,1
48940,42095,Low Income,2
48940,42095,Very Low Income,12
48973,40680,Low Income,11
48973,40680,Moderate Income,4
48996,972405,Low Income,10
48996,972406,Middle Income,11
49010,346924,Low Income,2
49026,85641,Low Income,18
49026,85641,Moderate Income,3
49026,85641,Other,1
49026,85641,Very Low Income,3
49058,64797,Low Income,68
49060,52764,Low Income,19
49060,52764,Other,1
49060,64260,Low Income,4
49060,64510,Low Income,16
49060,64309,Low Income,6
49060,95625,Low Income,4
49067,64306,Extremely Low Income,1
49067,64306,Low Income,18
49067,64306,Very Low Income,25
49070,334864,Low Income,4
49070,213832,Low Income,9
49070,357675,Low Income,3
49070,357634,Low Income,6
49070,357677,Low Income,13
49070,357669,Low Income,5
49070,359775,Low Income,7
49103,59514,Low Income,54
49103,59514,Moderate Income,13
49103,59514,Other,1
49103,59514,Very Low Income,4
49143,945536,Middle Income,142
49143,945536,Other,102
49143,945536,Very Low Income,62
49147,6125,Moderate Income,15
49171,806307,Low Income,62
49171,806307,Other,1
49171,113704,Low Income,62
49171,113704,Other,1
49171,806372,Low Income,64
49171,64618,Low Income,62
49172,948177,Extremely Low Income,86
49173,946227,Low Income,2
49173,946227,Other,1
49173,946227,Very Low Income,28
49248,,Extremely Low Income,9
49248,,Low Income,19
49248,,Other,1
49248,,Very Low Income,10
49270,947270,Low Income,36
49270,947270,Other,1
49275,809817,Extremely Low Income,65
49275,809817,Low Income,11
49275,809817,Moderate Income,22
49275,809817,Very Low Income,22
49275,809816,Extremely Low Income,65
49275,809816,Low Income,19
49275,809816,Moderate Income,22
49275,809816,Very Low Income,14
49275,394700,Extremely Low Income,65
49275,394700,Low Income,21
49275,394700,Moderate Income,20
49275,394700,Very Low Income,14
49276,944544,Low Income,12
49281,550156,Low Income,9
49281,944555,Low Income,13
49338,944796,Low Income,127
49358,25199,Low Income,18
49358,25198,Low Income,17
49358,25198,Very Low Income,7
49358,25197,Very Low Income,22
49418,1101,Extremely Low Income,15
49418,1101,Very Low Income,34
49445,40079,Moderate Income,24
49445,40079,Other,1
49445,40088,Very Low Income,24
49445,40069,Other,1
49445,40069,Very Low Income,24
49445,40063,Very Low Income,18
49455,42407,Low Income,4
49455,42407,Moderate Income,14
49455,42407,Very Low Income,2
49481,946226,Low Income,24
49481,946226,Other,1
49481,946226,Very Low Income,38
49501,79187,Low Income,8
49517,945811,Low Income,94
49517,945811,Other,1
49533,211017,Low Income,243
49533,211017,Other,1
49533,211017,Very Low Income,143
49533,808883,Low Income,241
49533,808883,Other,1
49533,808883,Very Low Income,145
49533,331799,Low Income,235
49533,331799,Other,1
49533,331799,Very Low Income,151
49533,211018,Low Income,240
49533,211018,Other,1
49533,211018,Very Low Income,146
49533,340170,Low Income,209
49533,340170,Other,1
49533,340170,Very Low Income,177
49533,807809,Low Income,212
49533,807809,Other,1
49533,807809,Very Low Income,174
49533,808686,Low Income,234
49533,808686,Other,1
49533,808686,Very Low Income,152
49534,945855,Low Income,83
49534,945855,Other,1
49544,10734,Extremely Low Income,33
49562,60426,Low Income,38
49562,60426,Very Low Income,48
49570,804217,Middle Income,3
49570,42452,Middle Income,3
49570,10011,Middle Income,3
49575,945947,Low Income,64
49575,945947,Other,1
49576,945948,Low Income,68
49576,945948,Other,1
49588,949027,Extremely Low Income,8
49588,949027,Low Income,11
49588,949027,Middle Income,3
49588,949027,Not Applicable,32
49588,949027,Other,1
49607,954885,Extremely Low Income,8
49607,954885,Low Income,23
49607,954885,Other,1
49607,954885,Very Low Income,28
