ProjectID,BuildingID,BedroomSize,MaxAllowableIncome,TotalUnits,MedianInitialLegalRent,HighInitialLegalRent,LowInitialLegalRent,MedianActualRent,HighActualRent,LowActualRent
51302,979325,2-BR,0%-30%,17,,,,,,
51302,979325,3-BR,0%-30%,5,,,,,,
51302,979325,4-BR,0%-30%,2,,,,,,
51302,979325,STUDIO,0%-30%,1,,,,,,
51617,25490,1-BR,0%-30%,308,,,,885,994,810
51617,25490,2-BR,0%-30%,114,,,,1142,1263,992
51617,25490,3-BR,0%-30%,21,,,,1387,1520,1326
51617,25490,STUDIO,0%-30%,10,,,,630,668,616
51617,805099,1-BR,0%-30%,339,,,,886,976,811
51617,805099,2-BR,0%-30%,101,,,,1140,1268,1063
51617,805099,3-BR,0%-30%,12,,,,1381,1428,1318
51617,805099,STUDIO,0%-30%,15,,,,643,681,583
51719,878727,1-BR,0%-30%,3,437,437,437,396,396,396
51719,878727,2-BR,0%-30%,3,524,524,524,482,482,482
51719,878727,STUDIO,0%-30%,3,408,408,408,368,368,368
51751,85563,1-BR,0%-30%,14,,,,,,
51751,85563,STUDIO,0%-30%,3,,,,,,
51751,122026,1-BR,0%-30%,22,,,,,,
51751,122026,STUDIO,0%-30%,6,,,,,,
51868,977499,1-BR,0%-30%,26,480,480,480,426,426,426
51868,977499,2-BR,0%-30%,23,586,1230,586,521,594,521
51868,977499,3-BR,0%-30%,12,669,669,669,596,596,594
51868,977499,STUDIO,0%-30%,20,446,446,446,395,395,395
52119,966188,1-BR,0%-30%,3,,,,,,
52119,966188,2-BR,0%-30%,5,,,,,,
52467,966082,1-BR,0%-30%,171,,,,,,
52467,966082,STUDIO,0%-30%,24,,,,,,
52674,40339,1-BR,0%-30%,1,,,,,,
52674,40339,2-BR,0%-30%,1,,,,,,
52674,40049,1-BR,0%-30%,3,392,455,349,392,455,182
52674,40049,2-BR,0%-30%,1,501,501,501,501,501,501
52674,39807,2-BR,0%-30%,1,,,,,,
52722,958049,1-BR,0%-30%,2,,,,1223,1223,1223
52722,958049,2-BR,0%-30%,2,,,,1446,1446,1446
52722,958049,3-BR,0%-30%,1,,,,1861,1861,1861
52722,975847,2-BR,0%-30%,1,,,,1446,1446,1446
52722,975847,3-BR,0%-30%,2,,,,1861,1861,1861
52733,42410,2-BR,0%-30%,2,316.5,321,312,316.5,321,312
52733,41421,1-BR,0%-30%,1,0,0,0,0,0,0
52733,4183,1-BR,0%-30%,4,289,292,249,289,292,249
52733,4183,2-BR,0%-30%,2,318,318,318,318,318,318
52733,42097,2-BR,0%-30%,6,318,515,0,318,515,0
52733,42097,3-BR,0%-30%,1,403,403,403,403,403,403
52733,3583,2-BR,0%-30%,1,469,469,469,469,469,469
52733,3583,3-BR,0%-30%,3,313,602,0,313,602,0
52733,3583,4-BR,0%-30%,5,592,704,484,592,704,484
52733,3583,5-BR,0%-30%,5,658,722,430,658,722,430
52733,41419,1-BR,0%-30%,1,0,0,0,0,0,0
52733,41409,2-BR,0%-30%,1,491,491,491,491,491,491
52733,4189,1-BR,0%-30%,3,255,255,249,255,255,249
52733,4189,2-BR,0%-30%,3,312,312,286,312,312,286
52733,4189,3-BR,0%-30%,1,312,312,312,312,312,312
52733,3437,2-BR,0%-30%,1,476,476,476,476,476,476
52733,4175,1-BR,0%-30%,1,370,370,370,370,370,370
52733,4175,3-BR,0%-30%,6,371,547,349,371,547,349
52733,941090,2-BR,0%-30%,1,524,524,524,524,524,524
52733,41417,3-BR,0%-30%,1,209,209,209,209,209,209
52733,42408,1-BR,0%-30%,1,0,0,0,0,0,0
52733,4173,3-BR,0%-30%,1,359,359,359,359,359,359
52733,7475,2-BR,0%-30%,1,412,412,412,412,412,412
52733,7475,3-BR,0%-30%,2,222,444,0,222,444,0
52733,41897,1-BR,0%-30%,1,294,294,294,294,294,294
52733,41897,2-BR,0%-30%,2,316.5,321,312,316.5,321,312
52735,810153,2-BR,0%-30%,4,1800,1800,1800,1758,1758,1758
52735,810153,3-BR,0%-30%,4,2312,2312,2312,2257,2257,2257
52782,958149,1-BR,0%-30%,3,,,,,,
52782,958149,2-BR,0%-30%,3,,,,,,
52783,987083,2-BR,0%-30%,1,,,,,,
52999,956204,1-BR,0%-30%,61,,,,,,
52999,956204,STUDIO,0%-30%,6,,,,,,
53273,958147,1-BR,0%-30%,2,396,396,396,396,396,396
53273,958147,2-BR,0%-30%,6,482,482,482,482,482,482
53273,958147,3-BR,0%-30%,2,551,551,551,551,551,551
53273,958147,STUDIO,0%-30%,1,368,368,368,368,368,368
53473,74511,1-BR,0%-30%,72,,,,,,
53473,74511,2-BR,0%-30%,1,,,,,,
53473,74511,STUDIO,0%-30%,28,,,,,,
53473,60067,1-BR,0%-30%,29,,,,,,
53473,60067,2-BR,0%-30%,1,,,,,,
53473,60067,STUDIO,0%-30%,5,,,,,,
53680,985795,2-BR,0%-30%,2,,,,,,
53680,985805,2-BR,0%-30%,2,,,,,,
53680,985802,2-BR,0%-30%,2,,,,,,
53680,985797,1-BR,0%-30%,1,,,,,,
53680,985797,2-BR,0%-30%,1,,,,,,
53680,985797,STUDIO,0%-30%,1,,,,,,
53680,985804,1-BR,0%-30%,1,,,,,,
53680,985804,2-BR,0%-30%,1,,,,,,
53680,985800,2-BR,0%-30%,2,,,,,,
53680,985791,1-BR,0%-30%,1,,,,,,
53680,985791,2-BR,0%-30%,1,,,,,,
53680,985796,2-BR,0%-30%,2,,,,,,
53680,985789,3-BR,0%-30%,1,,,,,,
53680,985793,2-BR,0%-30%,2,,,,,,
53680,985790,2-BR,0%-30%,2,,,,,,
53680,985786,1-BR,0%-30%,1,,,,,,
53680,985786,2-BR,0%-30%,1,,,,,,
53680,986184,1-BR,0%-30%,60,,,,,,
54360,979275,2-BR,0%-30%,2,,,,,,
54360,979272,2-BR,0%-30%,2,,,,,,
54360,979271,2-BR,0%-30%,1,,,,,,
54360,979274,2-BR,0%-30%,2,,,,,,
54360,979267,2-BR,0%-30%,2,,,,,,
54360,979278,2-BR,0%-30%,2,,,,,,
54360,979262,1-BR,0%-30%,1,,,,,,
54360,979262,2-BR,0%-30%,2,,,,,,
54360,979265,2-BR,0%-30%,2,,,,,,
54360,979268,1-BR,0%-30%,1,,,,,,
54360,979268,2-BR,0%-30%,2,,,,,,
54360,979264,2-BR,0%-30%,2,,,,,,
54360,979261,1-BR,0%-30%,1,,,,,,
54360,979261,2-BR,0%-30%,2,,,,,,
54360,979259,2-BR,0%-30%,1,,,,,,
54360,979259,3-BR,0%-30%,2,,,,,,
54360,979269,1-BR,0%-30%,1,,,,,,
54360,979269,2-BR,0%-30%,2,,,,,,
54377,,1-BR,0%-30%,2,,,,1656,1656,1656
54377,,2-BR,0%-30%,3,,,,1909,1909,575
54377,,3-BR,0%-30%,2,,,,2434,2434,2434
54377,,STUDIO,0%-30%,2,,,,1610,1610,1610
54520,975517,1-BR,0%-30%,36,,,,,,
54520,975517,2-BR,0%-30%,11,,,,,,
54520,975517,3-BR,0%-30%,10,,,,,,
54520,975517,STUDIO,0%-30%,8,,,,,,
54909,971874,1-BR,0%-30%,4,419,419,419,419,419,419
54909,971874,2-BR,0%-30%,2,509,509,509,509,509,509
54909,971874,3-BR,0%-30%,2,582,582,582,582,582,582
54909,971874,STUDIO,0%-30%,1,389,389,389,389,389,389
54909,953939,1-BR,0%-30%,2,419,419,419,419,419,419
54909,953939,2-BR,0%-30%,2,509,509,509,509,509,509
54909,953939,3-BR,0%-30%,1,582,582,582,582,582,582
54909,953939,STUDIO,0%-30%,2,389,389,389,389,389,389
54909,972724,1-BR,0%-30%,4,419,419,419,419,419,419
54909,972724,2-BR,0%-30%,2,509,509,509,509,509,509
54909,972724,3-BR,0%-30%,1,582,582,582,582,582,582
54909,972724,STUDIO,0%-30%,1,389,389,389,389,389,389
54954,967023,1-BR,0%-30%,5,1419,1419,1419,283,283,283
54954,967023,2-BR,0%-30%,6,1637,1637,1637,425,425,425
54954,967023,3-BR,0%-30%,2,2102,2102,2102,512,512,512
54954,967023,STUDIO,0%-30%,2,1352,1352,1352,215,215,215
55036,968113,1-BR,0%-30%,5,1357,1357,1357,283,283,283
55036,968113,2-BR,0%-30%,3,1571,1571,1571,425,425,425
55036,968113,3-BR,0%-30%,2,2021,2021,2021,512,512,512
55036,965812,1-BR,0%-30%,3,1357,1387,1357,283,283,283
55036,965812,2-BR,0%-30%,2,1571,1571,1571,425,425,425
55036,965812,3-BR,0%-30%,2,2021,2021,2021,512,512,512
55249,972215,1-BR,0%-30%,11,1317,1317,1317,283,283,283
55249,972215,2-BR,0%-30%,8,1530,1530,1530,425,425,425
55249,972215,3-BR,0%-30%,5,1967,1967,1967,512,512,512
55249,972215,STUDIO,0%-30%,4,1254,1254,1254,215,215,215
55249,989851,1-BR,0%-30%,12,1317,1317,1317,283,283,283
55249,989851,2-BR,0%-30%,2,1530,1530,1530,425,425,425
55249,989851,3-BR,0%-30%,2,1967,1967,1967,512,512,512
55263,966134,1-BR,0%-30%,4,,,,,,
55263,966134,2-BR,0%-30%,4,,,,,,
55264,966135,1-BR,0%-30%,12,,,,,,
55264,966135,2-BR,0%-30%,14,,,,,,
55264,966135,3-BR,0%-30%,10,,,,,,
57533,355186,3-BR,0%-30%,3,,,,,,
57533,355186,STUDIO,0%-30%,1,,,,,,
58450,119065,1-BR,0%-30%,1,,,,643,643,643
58450,119065,2-BR,0%-30%,4,,,,691.5,710,571
58450,119065,STUDIO,0%-30%,1,,,,550,550,550
58450,115656,1-BR,0%-30%,4,,,,470,558,470
58450,115656,2-BR,0%-30%,1,,,,571,571,571
58450,115645,2-BR,0%-30%,2,,,,579,659,499
58450,115645,3-BR,0%-30%,2,,,,652,652,652
58450,115650,1-BR,0%-30%,6,,,,470,610,470
58450,115650,2-BR,0%-30%,4,,,,692,696,571
58450,115650,3-BR,0%-30%,1,,,,652,652,652
58450,119052,1-BR,0%-30%,2,,,,532.5,595,470
58450,119052,2-BR,0%-30%,4,,,,681,777,571
58450,119052,STUDIO,0%-30%,3,,,,437,576,437
58450,119047,1-BR,0%-30%,7,,,,554,650,470
58450,119047,2-BR,0%-30%,5,,,,686,709,571
58450,119047,3-BR,0%-30%,1,,,,652,652,652
58450,119064,1-BR,0%-30%,3,,,,565,573,470
58450,119064,2-BR,0%-30%,5,,,,661,666,571
58450,119064,3-BR,0%-30%,1,,,,652,652,652
58450,115648,2-BR,0%-30%,5,,,,687,697,571
58450,119055,2-BR,0%-30%,2,,,,659,659,659
58450,115649,1-BR,0%-30%,1,,,,470,470,470
58450,115649,2-BR,0%-30%,2,,,,631,691,571
58450,119056,1-BR,0%-30%,1,,,,470,470,470
58450,119056,2-BR,0%-30%,4,,,,700,928,571
58450,119056,3-BR,0%-30%,1,,,,826,826,826
58450,115652,1-BR,0%-30%,1,,,,671,671,671
58450,115652,2-BR,0%-30%,3,,,,661,734,571
58450,115653,2-BR,0%-30%,5,,,,690,728,571
58450,115643,1-BR,0%-30%,2,,,,594.5,611,578
58450,115643,2-BR,0%-30%,5,,,,625,653,571
58623,976713,1-BR,0%-30%,12,530,530,530,283,283,283
58638,973182,1-BR,0%-30%,9,,,,,,
58638,973182,2-BR,0%-30%,5,,,,,,
58638,973182,3-BR,0%-30%,1,,,,,,
58638,973182,STUDIO,0%-30%,7,,,,,,
58733,968123,1-BR,0%-30%,1,1357,1357,1357,1317,1317,1317
58733,968123,2-BR,0%-30%,4,1571,1571,1571,1530,1530,1530
58733,968123,3-BR,0%-30%,2,2021,2021,2021,1967,1967,1967
58733,968123,STUDIO,0%-30%,1,1293,1293,1293,1254,1254,1254
58790,396881,1-BR,0%-30%,69,,,,,,
58790,396881,STUDIO,0%-30%,24,,,,,,
58793,974501,STUDIO,0%-30%,48,,,,,,
58936,995014,1-BR,0%-30%,4,1691,1691,1691,1357,1357,1357
58936,995014,2-BR,0%-30%,25,1964,1964,1561,1637,1637,1561
58936,995014,STUDIO,0%-30%,92,1622,1622,1622,1352,1352,1352
58955,968078,STUDIO,0%-30%,20,436,436,436,389,389,389
58965,969652,STUDIO,0%-30%,82,,,,1332,1332,1332
58992,88707,2-BR,0%-30%,1,,,,,,
58992,88707,4-BR,0%-30%,2,,,,,,
59474,18781,1-BR,0%-30%,3,,,,431,1112,341
59474,18781,2-BR,0%-30%,2,,,,811,1288,334
59474,18781,STUDIO,0%-30%,2,,,,406.5,439,374
59474,23935,1-BR,0%-30%,1,,,,372,372,372
59474,23935,3-BR,0%-30%,1,,,,295,295,295
59474,18990,2-BR,0%-30%,3,,,,222,322,194
59474,18990,3-BR,0%-30%,1,,,,294,294,294
59474,18986,2-BR,0%-30%,6,,,,362.5,451,195
59474,18783,1-BR,0%-30%,2,,,,364.5,418,311
59474,18783,2-BR,0%-30%,1,,,,500,500,500
59474,26271,STUDIO,0%-30%,1,,,,374,374,374
59474,19757,1-BR,0%-30%,1,,,,429,429,429
59474,18784,2-BR,0%-30%,3,,,,454,454,448
59474,18784,3-BR,0%-30%,2,,,,480,495,465
59474,18779,1-BR,0%-30%,1,,,,202,202,202
59474,23936,1-BR,0%-30%,1,,,,294,294,294
59474,26274,1-BR,0%-30%,3,,,,286,439,261
59474,26274,2-BR,0%-30%,1,,,,260,260,260
59474,26274,STUDIO,0%-30%,1,,,,553,553,553
60020,974093,1-BR,0%-30%,17,,,,,,
60020,974093,2-BR,0%-30%,15,,,,,,
60020,974093,3-BR,0%-30%,7,,,,,,
60020,974093,STUDIO,0%-30%,7,,,,,,
60041,5610,3-BR,0%-30%,2,,,,620.5,625,616
60249,971150,1-BR,0%-30%,4,1317,1317,1317,1317,1317,1317
60249,971150,2-BR,0%-30%,2,1530,1530,1530,1530,1530,1530
60249,971150,3-BR,0%-30%,2,1967,1967,1967,1967,1967,1967
60425,973613,1-BR,0%-30%,11,,,,,,
60425,973613,2-BR,0%-30%,4,,,,,,
60431,809908,1-BR,0%-30%,31,,,,,,
60505,975132,1-BR,0%-30%,3,,,,1317,1317,1317
60505,975132,STUDIO,0%-30%,1,,,,1254,1254,1254
60779,974205,1-BR,0%-30%,14,419,419,419,419,419,419
60779,974205,2-BR,0%-30%,6,509,509,509,509,509,509
60779,974205,3-BR,0%-30%,3,582,582,582,582,582,582
60779,974205,STUDIO,0%-30%,4,328,328,328,328,328,328
60810,972899,1-BR,0%-30%,7,1375,1375,1357,283,283,283
60810,972899,2-BR,0%-30%,6,1571,1571,1571,425,425,425
60810,972899,3-BR,0%-30%,2,2021,2021,2021,512,512,512
60810,972899,STUDIO,0%-30%,2,1293,1293,1293,215,215,215
60824,,1-BR,0%-30%,2,,,,,,
60824,,2-BR,0%-30%,28,,,,,,
60824,,3-BR,0%-30%,7,,,,,,
61357,976032,1-BR,0%-30%,11,,,,,,
61357,976032,2-BR,0%-30%,16,,,,,,
61357,976032,3-BR,0%-30%,6,,,,,,
61357,976032,STUDIO,0%-30%,2,,,,,,
61405,976362,1-BR,0%-30%,10,,,,,,
61405,976362,2-BR,0%-30%,3,,,,,,
61405,976362,3-BR,0%-30%,1,,,,,,
61405,976362,STUDIO,0%-30%,2,,,,,,
61575,972764,1-BR,0%-30%,7,,,,411,1641,411
61575,972764,2-BR,0%-30%,5,,,,503,1891,503
61575,972764,3-BR,0%-30%,3,,,,2413,2413,572
61575,972764,STUDIO,0%-30%,2,,,,957.5,1597,318
61609,,1-BR,0%-30%,4,,,,1283,1283,1283
61609,,2-BR,0%-30%,9,,,,1629,1629,1629
61611,995887,1-BR,0%-30%,6,480,480,480,426,426,426
61611,995887,2-BR,0%-30%,1,586,586,586,521,521,521
61611,995887,STUDIO,0%-30%,1,374,374,374,331,331,331
61611,995888,1-BR,0%-30%,5,480,480,480,426,426,426
61611,995888,STUDIO,0%-30%,5,374,374,374,331,331,331
61611,975413,1-BR,0%-30%,3,480,480,480,426,426,426
61611,975413,2-BR,0%-30%,1,586,586,586,426,426,426
61611,975413,3-BR,0%-30%,1,669,669,669,594,594,594
61612,975696,1-BR,0%-30%,24,530,530,530,377,471,283
61612,975696,2-BR,0%-30%,8,646,646,646,500,575,425
61612,975696,3-BR,0%-30%,4,739,739,739,585,658,512
61612,975696,STUDIO,0%-30%,4,414,414,414,291,367,215
61678,981992,1-BR,0%-30%,31,,,,,,
61678,981992,2-BR,0%-30%,22,,,,,,
61678,981992,3-BR,0%-30%,2,,,,,,
61678,981992,STUDIO,0%-30%,12,,,,,,
61728,975686,STUDIO,0%-30%,20,,,,328,328,328
61799,975338,1-BR,0%-30%,30,,,,,,
61799,975338,2-BR,0%-30%,21,,,,,,
61799,975338,3-BR,0%-30%,12,,,,,,
61799,975338,STUDIO,0%-30%,12,,,,,,
61967,19431,STUDIO,0%-30%,23,,,,,,
62211,974228,1-BR,0%-30%,1,1419,1419,1419,1300,1300,1300
62211,974228,2-BR,0%-30%,3,1637,1637,1637,1513,1513,1513
62241,965108,1-BR,0%-30%,1,,,,,,
62241,965108,STUDIO,0%-30%,5,,,,,,
62241,976490,1-BR,0%-30%,1,,,,,,
62241,976490,2-BR,0%-30%,1,,,,,,
62241,976490,STUDIO,0%-30%,1,,,,,,
62289,976044,STUDIO,0%-30%,46,,,,,,
62962,975399,1-BR,0%-30%,8,,,,,,
62962,975399,2-BR,0%-30%,5,,,,,,
62962,975399,3-BR,0%-30%,2,,,,,,
62962,975399,STUDIO,0%-30%,4,,,,,,
63036,983224,1-BR,0%-30%,7,,,,,,
63151,988458,1-BR,0%-30%,6,,,,,,
63151,988458,2-BR,0%-30%,6,,,,,,
63151,988458,3-BR,0%-30%,2,,,,,,
63151,988458,STUDIO,0%-30%,4,,,,,,
63172,974500,1-BR,0%-30%,4,,,,,,
63172,974500,2-BR,0%-30%,2,,,,,,
63172,974500,STUDIO,0%-30%,2,,,,,,
63345,979242,1-BR,0%-30%,7,426,426,426,426,426,426
63345,979242,2-BR,0%-30%,3,521,521,521,521,521,521
63345,979242,3-BR,0%-30%,2,594,594,594,594,594,594
63345,979242,STUDIO,0%-30%,3,331,331,331,331,331,331
63751,927005,1-BR,0%-30%,8,,,,,,
63751,927005,2-BR,0%-30%,4,,,,,,
63751,927005,3-BR,0%-30%,2,,,,,,
63751,927005,STUDIO,0%-30%,2,,,,,,
63761,927041,1-BR,0%-30%,8,,,,,,
63761,927041,2-BR,0%-30%,9,,,,,,
63761,927041,3-BR,0%-30%,1,,,,,,
63761,927041,STUDIO,0%-30%,2,,,,,,
63763,984726,1-BR,0%-30%,35,,,,,,
63763,984726,2-BR,0%-30%,27,,,,,,
63763,984726,3-BR,0%-30%,5,,,,,,
63763,984726,STUDIO,0%-30%,23,,,,,,
63771,984735,1-BR,0%-30%,19,,,,,,
63771,984735,2-BR,0%-30%,4,,,,,,
63771,984735,3-BR,0%-30%,2,,,,,,
63771,984735,STUDIO,0%-30%,21,,,,,,
63775,957258,1-BR,0%-30%,12,949.5,1419,480,354.5,426,283
63775,957258,2-BR,0%-30%,7,586,1637,586,521,521,425
63775,957258,3-BR,0%-30%,3,2102,2102,669,512,594,512
63775,957258,STUDIO,0%-30%,4,863,1352,374,273,331,215
63877,975693,1-BR,0%-30%,39,,,,,,
63877,975693,STUDIO,0%-30%,75,,,,,,
63880,984611,1-BR,0%-30%,20,,,,471,471,283
63880,984611,2-BR,0%-30%,10,,,,575,575,425
63880,984611,3-BR,0%-30%,7,,,,658,658,512
63880,984611,STUDIO,0%-30%,8,,,,215,215,215
64027,988996,1-BR,0%-30%,14,1926,1926,525,465,465,465
64027,988996,2-BR,0%-30%,9,641,2323,641,569,569,569
64027,988996,3-BR,0%-30%,8,733,2676,733,650,650,650
64027,988996,STUDIO,0%-30%,16,1532,1532,410,362,362,362
64027,990498,1-BR,0%-30%,13,641,1926,525,465,569,465
64027,990498,2-BR,0%-30%,8,641,2323,641,569,569,569
64027,990498,STUDIO,0%-30%,4,410,1532,410,362,465,362
64252,984242,1-BR,0%-30%,20,,,,,,
64252,984242,2-BR,0%-30%,16,,,,,,
64252,984242,3-BR,0%-30%,4,,,,,,
64252,984242,STUDIO,0%-30%,8,,,,,,
64406,989393,1-BR,0%-30%,17,,,,,,
64406,989393,2-BR,0%-30%,7,,,,,,
64406,989393,3-BR,0%-30%,5,,,,,,
64406,989393,STUDIO,0%-30%,9,,,,,,
64492,874245,1-BR,0%-30%,8,,,,,,
