Project ID,Project Name,Program Group,Project Start Date,Project Completion Date,Extended Affordability Only,Prevailing Wage Status,Planned Tax Benefit,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Senior Units
44340,BLAKE/HENDRIX,Small Homes Program,05/30/2018,10/28/2021,No,Non Prevailing Wage,UDAAP,0,0,0,30,0,0,17,13,30,30,0
44348,Crossroads Plaza- Rental Low,Multifamily Finance Program,01/28/2014,04/12/2017,No,Non Prevailing Wage,420c,0,28,107,0,0,1,136,0,136,136,0
44353,Walison. 280-282 E. Burnside Ave. Burnside Walton,Multifamily Finance Program,06/26/2014,10/26/2017,No,Non Prevailing Wage,420c,45,0,43,0,0,2,90,0,90,90,0
44357,Acacia Gardens,Multifamily Finance Program,04/11/2016,08/24/2018,No,Non Prevailing Wage,420c,54,0,106,18,0,1,179,0,179,179,0
44371,Navy Green (Building R2),Multifamily Finance Program,03/06/2014,03/25/2016,No,Non Prevailing Wage,421a,0,0,0,67,7,1,0,75,75,99,0
44388,2264 Morris Avenue,Multifamily Finance Program,12/17/2015,12/26/2018,No,Non Prevailing Wage,420c,31,0,62,0,0,1,94,0,94,94,0
44409,Crotona Terrace II,Multifamily Finance Program,06/25/2015,01/12/2018,No,Non Prevailing Wage,420c,11,32,64,0,0,1,108,0,108,108,0
44431,WESTCHESTER MEWS,Multifamily Finance Program,06/27/2017,10/22/2020,No,Non Prevailing Wage,Article XI,31,21,153,0,0,1,206,0,206,206,0
44602,CYPRESS. 137 JAMAICA AVENUE,Multifamily Finance Program,10/29/2015,01/02/2018,No,Prevailing Wage,,53,0,0,0,0,1,54,0,54,54,53
45303,Prospect Plaza Redevelopment,Multifamily Finance Program,06/30/2014,07/11/2016,No,Prevailing Wage,420c,0,46,63,0,0,1,110,0,110,110,0
45326,High Hawk,Multifamily Finance Program,06/30/2014,01/29/2018,No,Non Prevailing Wage,421a,0,0,18,54,0,1,73,0,73,73,0
45647,HARLEN PARK 70 WEST 139TH STREET,Multifamily Finance Program,06/11/2015,,No,Non Prevailing Wage,421a,0,0,6,0,36,0,0,42,42,64,0
46143,West Farms/Longfellow Ave,Multifamily Finance Program,06/25/2015,10/15/2018,No,Non Prevailing Wage,420c,16,48,90,26,0,1,181,0,181,181,0
47841,1490 CROTONA PARK EAST,Multifamily Finance Program,06/30/2014,04/30/2015,No,Non Prevailing Wage,420c,0,0,38,0,0,1,39,0,39,39,0
47868,211 West 147 Street,Multifamily Finance Program,06/14/2016,05/17/2018,No,Non Prevailing Wage,Article XI,0,0,12,0,0,0,0,12,12,12,0
47878,152 EAST 116TH STREET,Multifamily Finance Program,06/23/2017,06/29/2022,No,Non Prevailing Wage,Article XI,0,0,0,9,0,0,0,9,9,9,0
47888,46-48 East 129 Street,Multifamily Finance Program,06/08/2016,04/18/2018,No,Non Prevailing Wage,Article XI,0,0,10,0,0,0,0,10,10,10,0
47948,748 Beck Street,Multifamily Finance Program,08/06/2015,07/25/2017,No,Non Prevailing Wage,Article XI,0,0,10,0,0,0,0,10,10,10,0
47962,TBX902 - Banana Kelly,Multifamily Finance Program,03/06/2014,12/11/2015,No,Prevailing Wage,Article XI,0,15,26,0,0,1,42,0,42,42,0
48011,TBX602-Bronx Pro,Multifamily Finance Program,06/22/2015,09/26/2018,No,Non Prevailing Wage,Article XI,0,0,53,6,0,1,60,0,60,60,0
48014,TBX901-RSE,Multifamily Finance Program,06/30/2016,07/16/2019,No,Non Prevailing Wage,J-51,0,0,30,0,0,0,30,0,30,30,0
48038,165 WEST 80TH STREET,Multifamily Finance Program,12/31/2018,02/10/2023,No,Non Prevailing Wage,Article XI,0,14,14,0,0,1,29,0,29,29,0
48128,"Harlem Cluster-Artimus Construction, Inc.",Multifamily Finance Program,06/19/2014,12/14/2016,No,Non Prevailing Wage,J-51 Enriched,0,28,21,20,26,5,100,0,100,100,0
48143,MMN1802 - CLOTH AMSTERDAM AVENUE,Multifamily Finance Program,10/17/2019,05/02/2023,No,Non Prevailing Wage,Article XI,0,27,30,0,0,1,58,0,58,58,0
48607,TBX910 - Lemle & Wolff,Multifamily Finance Program,06/26/2014,01/20/2017,No,Non Prevailing Wage,Article XI,0,0,134,0,0,4,138,0,138,138,0
48608,TMN904 - PRECISE,Multifamily Finance Program,10/19/2017,08/16/2021,No,Non Prevailing Wage,Article XI,0,17,105,0,0,3,125,0,125,125,0
48624,TBK902 - Shinda,Multifamily Finance Program,06/24/2014,04/01/2016,No,Non Prevailing Wage,J-51 Enriched,0,0,71,17,0,1,89,0,89,95,0
48638,LANTERN. 330-332 WEST 51ST ST. STARDOM HALL,Multifamily Finance Program,09/19/2014,12/11/2017,No,Non Prevailing Wage,420c,39,0,70,0,0,0,109,0,109,109,0
48643,BRIDGE.425 E 161ST ST. MELROSE SITE C SHLP PORTION,Multifamily Finance Program,06/29/2016,05/10/2018,No,Prevailing Wage,420c,58,0,0,0,0,1,59,0,59,59,0
48646,SKA MARIN. 1918 FIRST AVE. DRAPER HALL,Multifamily Finance Program,12/24/2014,11/28/2017,No,Prevailing Wage,420c,202,0,0,0,0,1,203,0,203,203,202
48647,WIN.75-121 JUNIUS ST.THE GLENMORE,Multifamily Finance Program,06/26/2015,12/07/2017,No,Prevailing Wage,420c,96,0,64,0,0,1,161,0,161,161,0
48650,Cooper Square. 222 East 13th St. Ali Forney,Multifamily Finance Program,06/30/2015,04/09/2018,No,Non Prevailing Wage,420a,18,0,0,0,0,0,18,0,18,18,0
48679,NEP Round 1 Mott Haven,Multifamily Finance Program,06/26/2014,06/30/2021,No,Non Prevailing Wage,420c,0,0,82,0,28,4,114,0,114,114,0
48729,TBX907B- Belmont Arthur 2,Multifamily Finance Program,07/16/2015,10/10/2023,No,Non Prevailing Wage,Article XI,0,48,142,0,0,3,193,0,193,193,0
48731,TBX909-Erickson,Multifamily Finance Program,12/19/2014,01/23/2018,No,Non Prevailing Wage,Article XI,0,0,98,0,0,2,100,0,100,100,0
48732,TMN601B - MDG,Multifamily Finance Program,06/19/2015,05/16/2017,No,Non Prevailing Wage,Article XI,0,0,26,0,0,0,26,0,26,26,0
48742,40 Riverside Boulevard,Multifamily Incentives Program,06/30/2014,02/25/2016,No,Non Prevailing Wage,421a,0,0,55,0,0,0,55,0,55,274,0
48751,1109 Madison Street,Multifamily Finance Program,05/26/2016,05/26/2016,No,Non Prevailing Wage,420c,0,0,17,0,0,1,18,0,18,18,0
48753,JEROME AVENUE TENANTS HDFC,Multifamily Finance Program,06/28/2017,06/27/2019,No,Non Prevailing Wage,J-51,4,73,7,0,0,1,0,85,85,85,0
48763,Dorie Miller Apartments - WHGA,Multifamily Finance Program,06/10/2015,04/05/2019,No,Non Prevailing Wage,Article XI,0,17,36,1,0,0,54,0,54,54,0
48767,HRP 133-134,Multifamily Finance Program,06/19/2014,06/19/2014,Yes,Non Prevailing Wage,420c,0,0,71,0,0,0,71,0,71,71,0
48768,URBAN HORIZONS HDFC.YR15.FY18,Multifamily Finance Program,02/06/2018,,No,Non Prevailing Wage,420c,4,121,6,0,0,1,132,0,132,132,11
48775,NORTH BROOKLYN OPPORTUNITIES (NBO),Multifamily Finance Program,02/26/2015,12/26/2017,No,Non Prevailing Wage,420c,0,8,16,0,0,0,24,0,24,24,0
48787,1091 Bushwick Avenue HDFC,Multifamily Finance Program,06/26/2014,06/21/2018,No,Non Prevailing Wage,J-51 Enriched,0,16,0,0,0,0,1,15,16,16,0
48870,1380 University Avenue,Multifamily Finance Program,06/30/2014,12/28/2015,No,Non Prevailing Wage,Article XI,0,0,139,0,0,0,139,0,139,139,0
48879,Vesta Steinway,Multifamily Finance Program,03/12/2014,01/31/2017,No,Non Prevailing Wage,421a,0,0,17,66,0,1,84,0,84,84,0
48885,FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Multifamily Finance Program,06/20/2018,,No,Non Prevailing Wage,,2,1620,12,0,0,0,0,1634,1634,1634,0
48898,Maple Court - 1901 Madison Ave,Multifamily Finance Program,06/30/2014,02/15/2018,No,Non Prevailing Wage,J-51 Enriched,0,0,135,0,0,0,0,135,135,135,0
48906,CAMBA GARDENS 2. 560 WINTHROP,Multifamily Finance Program,06/26/2014,11/30/2016,No,Prevailing Wage,420c,182,0,110,0,0,1,293,0,293,293,0
48908,TBK905 - Bridge Street,Multifamily Finance Program,02/10/2016,03/27/2020,No,Non Prevailing Wage,UDAAP,29,18,20,1,6,0,74,0,74,74,0
48940,207 W. 147 St. HDFC,Multifamily Finance Program,06/29/2015,02/28/2020,No,Non Prevailing Wage,J-51 Enriched,1,12,2,0,0,0,2,13,15,15,0
48973,508 West 134 Street,Multifamily Finance Program,07/02/2015,08/04/2017,No,Non Prevailing Wage,Article XI,0,0,11,4,0,0,0,15,15,15,0
48996,204 AVENUE A & 535 EAST 12TH STREET PROJECT,Multifamily Finance Program,12/18/2019,,No,Non Prevailing Wage,Article XI,0,0,10,0,11,0,11,10,21,21,0
49071,Daly Avenue (Phipps),Multifamily Finance Program,06/30/2014,06/30/2014,Yes,Non Prevailing Wage,420c,0,0,83,0,0,1,84,0,84,84,0
49147,21 ARDEN STREET,Multifamily Finance Program,01/17/2019,02/04/2022,No,Non Prevailing Wage,Article XI,0,0,0,15,0,0,0,15,15,15,0
49172,UP. 316 East 162nd St.,Multifamily Finance Program,06/26/2014,12/13/2016,No,Prevailing Wage,420c,86,0,0,0,0,0,86,0,86,86,0
49174,Hunts Point Cluster,Multifamily Finance Program,06/19/2015,06/19/2015,Yes,Non Prevailing Wage,Article XI,0,13,60,0,21,2,96,0,96,96,0
49279,1402 YORK AVENUE,Multifamily Incentives Program,05/23/2017,08/27/2020,No,Non Prevailing Wage,Article XI,0,0,10,0,0,0,0,10,10,11,0
49283,THE HUB,Multifamily Incentives Program,12/30/2014,11/15/2017,No,Non Prevailing Wage,421a,0,0,150,0,0,0,150,0,150,750,0
49445,TMN903 - Lemle & Wolff,Multifamily Finance Program,12/30/2015,09/05/2018,No,Non Prevailing Wage,Article XI,0,66,0,24,0,2,92,0,92,92,0
49501,847 Fox Street,Multifamily Finance Program,08/06/2015,07/18/2017,No,Non Prevailing Wage,Article XI,0,0,8,0,0,0,0,8,8,8,0
49533,LINDSAY PARK.HRP.FY18,Multifamily Finance Program,11/26/2018,,No,Non Prevailing Wage,,0,1088,1614,0,0,7,0,2709,2709,2709,0
49544,BRC. 330 EAST 4TH ST. CLYDE BURTON,Multifamily Finance Program,08/08/2014,09/21/2021,No,Non Prevailing Wage,,33,0,0,0,0,0,33,0,33,33,0
49562,1711 Davidson HDFC,Multifamily Finance Program,02/06/2015,06/21/2018,No,Non Prevailing Wage,J-51 Enriched,0,48,38,0,0,0,39,47,86,86,0
49588,MY MICRO NY FKA ADAPT NYC/MICRO UNITS,Multifamily Finance Program,02/26/2014,04/15/2016,No,Non Prevailing Wage,421a,8,0,11,0,3,1,23,0,23,55,0
49607,1561 WALTON AVENUE,Multifamily Finance Program,06/30/2015,11/15/2017,No,Non Prevailing Wage,420c,8,28,23,0,0,1,60,0,60,60,0
49625,East 138 Street,Multifamily Finance Program,06/30/2015,04/11/2019,No,Non Prevailing Wage,420c,10,28,57,0,0,1,96,0,96,96,0
49635,Habitat-NYC Single Family Homes Phase I,Small Homes Program,12/31/2015,05/31/2016,No,Non Prevailing Wage,UDAAP,0,0,13,0,0,0,0,13,13,13,0
49709,605 WEST 42ND ST,Multifamily Incentives Program,07/31/2014,10/11/2016,No,Non Prevailing Wage,421a,0,0,235,0,0,0,235,0,235,1175,0
49711,490 Myrtle Ave.,Multifamily Incentives Program,12/18/2014,08/09/2016,No,Non Prevailing Wage,421a,0,0,19,0,0,0,19,0,19,93,0
49713,SOBRO. 988 WASHINGTON AVE. NEW ROADS PLAZA,Multifamily Finance Program,12/19/2019,06/30/2022,No,Non Prevailing Wage,420c,57,0,37,0,0,1,95,0,95,95,0
49716,FSG DEVELOPMENT FCM - FSG REALTY LLC,Multifamily Finance Program,10/06/2016,05/25/2022,No,Non Prevailing Wage,Article XI,43,1,43,0,0,1,88,0,88,88,0
49722,Livonia Commons,Multifamily Finance Program,01/15/2014,04/25/2016,No,Non Prevailing Wage,420c,0,153,121,0,0,4,278,0,278,278,0
49774,555 Tenth Avenue,Multifamily Incentives Program,03/26/2015,07/19/2017,No,Non Prevailing Wage,421a,0,0,120,0,0,0,120,0,120,598,0
49908,546 West 44th Street,Multifamily Incentives Program,06/26/2014,07/14/2017,No,Non Prevailing Wage,421a,0,0,62,0,0,0,62,0,62,280,0
49938,Greenpoint Landing E3,Multifamily Finance Program,12/23/2014,05/09/2017,No,Non Prevailing Wage,Article XI,0,10,67,0,20,1,98,0,98,98,0
49943,GREENPOINT LANDING G2,Multifamily Incentives Program,06/30/2014,01/24/2017,No,Non Prevailing Wage,421a,0,19,73,0,0,0,92,0,92,93,0
49945,365 BOND STREET,Multifamily Incentives Program,08/26/2014,08/01/2016,No,Non Prevailing Wage,421a,0,0,86,0,0,0,86,0,86,429,0
49959,L&M HCCI 260 W 153RD STREET,Multifamily Finance Program,09/09/2014,06/22/2016,No,Non Prevailing Wage,420c,8,42,0,0,0,1,51,0,51,51,0
50026,SUS. 1674 Broadway and 768 Decatur. Henry Apts.,Multifamily Finance Program,12/31/2014,03/17/2017,No,Prevailing Wage,420c,106,0,27,0,0,1,134,0,134,134,0
50059,Kings Villas - St. Nicks,Multifamily Finance Program,02/26/2015,05/17/2017,No,Non Prevailing Wage,Article XI,0,12,27,0,0,0,39,0,39,39,0
50088,810 River,Multifamily Finance Program,06/26/2014,06/18/2018,No,Non Prevailing Wage,Article XI,0,22,84,27,0,1,134,0,134,134,0
50104,Crotona Terrace I aka 1825 Boston Road,Multifamily Finance Program,10/02/2014,10/28/2016,No,Non Prevailing Wage,421a,0,0,79,0,0,1,80,0,80,80,0
50131,Grand & Rogers Cluster - JGV,Multifamily Finance Program,06/29/2015,08/28/2019,No,Non Prevailing Wage,Article XI,0,16,46,24,0,1,87,0,87,87,0
50132,TMN906 - NMIC,Multifamily Finance Program,06/23/2016,05/28/2019,No,Non Prevailing Wage,Article XI,0,0,20,0,0,1,21,0,21,21,0
50157,346 Bergen Street,Small Homes Program,06/30/2016,08/17/2020,No,Non Prevailing Wage,421a,0,0,0,5,18,1,24,0,24,24,0
50184,STRIVERS PLAZA II,Multifamily Finance Program,12/18/2014,07/13/2017,No,Non Prevailing Wage,,0,17,98,1,0,1,117,0,117,117,0
50187,11 Jackson Street,Multifamily Incentives Program,09/16/2014,03/09/2017,No,Non Prevailing Wage,421a,0,0,10,0,0,0,10,0,10,44,0
50192,1790 Clinton Avenue,Multifamily Finance Program,05/28/2014,05/28/2014,Yes,Non Prevailing Wage,420c,16,0,11,0,0,0,27,0,27,27,0
50193,Nelson Luquer,Multifamily Finance Program,06/13/2014,08/13/2015,No,Non Prevailing Wage,420c,0,0,44,0,0,0,44,0,44,44,0
50196,Belmont Venezia,Multifamily Finance Program,01/22/2014,04/13/2015,No,Non Prevailing Wage,Article XI,0,0,177,0,0,3,180,0,180,180,0
50200,DOE. 1420 CROTONA PARK EAST,Multifamily Finance Program,03/26/2015,12/13/2016,No,Prevailing Wage,420c,60,0,0,0,0,0,60,0,60,60,0
50201,LOS SURES 383 HEWES STREET HDFC,Multifamily Finance Program,03/06/2015,11/09/2016,No,Non Prevailing Wage,Article XI,0,0,18,3,0,1,22,0,22,22,0
50204,201-207 7TH AVENUE (ANCP),Multifamily Finance Program,06/30/2022,,No,Non Prevailing Wage,Article XI,0,0,0,0,26,0,0,26,26,26,0
50206,Park Monroe II,Multifamily Finance Program,02/26/2015,08/07/2017,No,Non Prevailing Wage,420c,43,0,167,0,0,4,214,0,214,214,0
50207,MHANY East NY Partnership,Multifamily Finance Program,06/19/2014,01/20/2016,No,Non Prevailing Wage,420c,0,9,49,0,0,1,59,0,59,59,0
50223,CENTRAL HARLEM HDFC&270 ROCHESTER AVEHDFC,Multifamily Finance Program,06/30/2015,10/17/2018,No,Non Prevailing Wage,Article XI,3,24,64,1,0,1,93,0,93,93,0
50248,MHANY 2,Multifamily Finance Program,06/18/2014,11/21/2019,No,Non Prevailing Wage,420c,0,0,77,0,0,0,77,0,77,77,0
50252,El Borinquen II,Multifamily Finance Program,03/31/2014,03/31/2014,Yes,Non Prevailing Wage,420c,0,0,27,0,0,0,27,0,27,27,0
50257,920 Prospect Avenue,Multifamily Finance Program,12/30/2014,12/30/2014,Yes,Non Prevailing Wage,420c,0,0,69,0,0,0,69,0,69,69,0
50258,New Walton,Multifamily Finance Program,06/19/2014,10/26/2015,No,Non Prevailing Wage,420c,0,0,85,0,0,0,85,0,85,85,0
50278,Promesa Housing Development Fund Corporation,Multifamily Finance Program,06/24/2014,05/17/2019,No,Non Prevailing Wage,J-51 Enriched,0,139,0,0,0,0,0,139,139,139,0
50282,Selfhelp. 6469 Broadway. Van Courtlandt Green,Multifamily Finance Program,06/26/2014,04/20/2016,No,Non Prevailing Wage,420c,0,8,77,0,0,1,86,0,86,86,85
50291,E. H. C. C. I. / LA FORTALEZA HDFC,Multifamily Finance Program,06/30/2014,06/04/2015,No,Non Prevailing Wage,,0,10,0,0,0,0,10,0,10,10,0
50293,Belle Apartments HDFC,Multifamily Finance Program,06/22/2015,02/13/2018,No,Non Prevailing Wage,J-51 Enriched,1,6,14,0,0,0,21,0,21,21,0
50294,Margarita Santos Apartments HDFC,Multifamily Finance Program,06/05/2014,02/07/2017,No,Non Prevailing Wage,J-51 Enriched,0,6,25,0,0,0,31,0,31,31,0
50330,626 First Avenue,Multifamily Incentives Program,06/18/2014,07/03/2018,No,Non Prevailing Wage,421a,0,0,160,0,0,0,160,0,160,761,0
50347,"LIND RIC HOUSING CO., INC.",Multifamily Finance Program,06/26/2017,,No,Non Prevailing Wage,,0,171,1,0,0,0,1,171,172,172,0
50352,Burnside Associates,Multifamily Finance Program,06/19/2014,04/17/2018,No,Non Prevailing Wage,420c,0,0,95,24,0,0,119,0,119,119,0
50353,Webster Ryer (aka Mid-Webster Renewal),Multifamily Finance Program,06/18/2014,02/19/2016,No,Non Prevailing Wage,420c,0,0,68,0,0,0,68,0,68,68,0
50354,Ogden Ave.,Multifamily Finance Program,06/11/2014,06/11/2014,Yes,Non Prevailing Wage,420c,40,1,0,0,0,0,41,0,41,41,0
50356,Gabriel House LP,Multifamily Finance Program,11/13/2014,11/13/2014,Yes,Non Prevailing Wage,420c,29,1,0,0,0,0,30,0,30,30,0
50359,FS Development,Multifamily Finance Program,06/25/2014,06/25/2014,Yes,Non Prevailing Wage,Article XI,0,0,72,0,33,0,105,0,105,105,0
50360,Park & 196th Street,Multifamily Finance Program,06/16/2014,06/16/2014,Yes,Non Prevailing Wage,420c,0,0,44,0,0,0,44,0,44,44,0
50370,Halle Housing Associates,Multifamily Finance Program,06/30/2014,06/22/2017,No,Non Prevailing Wage,420c,0,0,201,0,0,1,202,0,202,202,0
50371,Hill House,Multifamily Finance Program,06/23/2014,06/23/2014,Yes,Non Prevailing Wage,420c,42,1,0,0,0,1,44,0,44,44,0
50372,San Miguel Residence aka Ryer Associates,Multifamily Finance Program,11/07/2014,11/07/2014,Yes,Non Prevailing Wage,420c,0,0,69,0,0,1,70,0,70,70,0
50384,Mascot Flats HDFC,Multifamily Incentives Program,04/08/2016,04/08/2016,Yes,Non Prevailing Wage,Article XI,0,0,0,19,0,0,0,19,19,19,0
50386,304-306 EAST 8TH STREET HDFC,Multifamily Incentives Program,10/31/2016,10/31/2016,Yes,Non Prevailing Wage,Article XI,16,0,0,0,0,0,16,0,16,16,0
50388,TWEEMILL HOUSE HDFC,Multifamily Incentives Program,06/29/2015,06/29/2015,Yes,Non Prevailing Wage,Article XI,0,40,0,0,0,0,40,0,40,40,40
50390,St Barnabas Housing For The Elderly,Multifamily Incentives Program,06/24/2014,06/24/2014,Yes,Non Prevailing Wage,Article XI,0,0,90,0,0,1,91,0,91,91,91
50392,Promenade Apartments,Multifamily Incentives Program,02/11/2014,02/11/2014,Yes,Non Prevailing Wage,Article XI,0,0,95,0,222,0,317,0,317,317,0
50404,Vannguard,Multifamily Finance Program,09/10/2014,09/10/2014,Yes,Non Prevailing Wage,420c,0,0,123,0,0,3,126,0,126,126,0
50405,CROTONA PARK NORTH,Multifamily Finance Program,10/30/2014,10/30/2014,Yes,Non Prevailing Wage,420c,0,0,66,0,0,1,67,0,67,67,0
50408,333 E 209TH STREET,Multifamily Finance Program,06/26/2014,02/29/2016,No,Non Prevailing Wage,,0,42,0,0,0,1,0,43,43,43,0
50410,CAMBA. 331 Saratoga Ave. Bergen Saratoga,Multifamily Finance Program,06/03/2014,10/21/2016,No,Non Prevailing Wage,420c,40,16,23,0,0,1,80,0,80,80,0
50411,LPC WAREHOUSE/ WILLIAMSBURG BRIDGEVIEW,Multifamily Finance Program,06/29/2016,04/04/2019,No,Non Prevailing Wage,420c,16,0,38,0,0,1,55,0,55,55,0
50415,Lexington Gardens,Multifamily Finance Program,06/25/2015,06/25/2015,Yes,Non Prevailing Wage,Article XI,82,18,7,0,0,1,108,0,108,108,0
50416,Logan Plaza,Multifamily Incentives Program,06/04/2014,06/04/2014,Yes,Non Prevailing Wage,Article XI,0,0,26,0,103,1,130,0,130,130,0
50417,Gateway 1,Multifamily Finance Program,10/30/2014,10/30/2014,Yes,Non Prevailing Wage,Article XI,38,15,5,0,0,1,58,1,59,59,0
50418,Audubon,Multifamily Finance Program,10/30/2014,10/30/2014,Yes,Non Prevailing Wage,Article XI,67,15,5,0,0,1,88,0,88,88,0
50419,Site A/Washington Heights,Multifamily Finance Program,10/29/2014,10/29/2014,Yes,Non Prevailing Wage,Article XI,88,15,6,0,0,1,110,0,110,110,0
50421,MSHOUSES,Multifamily Finance Program,10/29/2014,10/29/2014,Yes,Non Prevailing Wage,Article XI,97,26,7,0,0,1,131,0,131,131,0
50424,SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I,Small Homes Program,10/19/2016,03/27/2018,No,Non Prevailing Wage,UDAAP,0,0,10,9,0,0,0,19,19,19,0
50467,210 East 39th Street,Multifamily Incentives Program,12/04/2014,11/14/2017,No,Non Prevailing Wage,421a,0,0,11,0,0,0,11,0,11,55,0
50473,The Bedford,Multifamily Incentives Program,03/28/2014,05/23/2019,No,Non Prevailing Wage,420c,0,0,12,0,0,0,12,0,12,60,0
50481,CONFIDENTIAL,Homeowner Assistance Program,01/14/2014,04/30/2014,No,Non Prevailing Wage,,0,3,0,0,0,0,0,3,3,3,1
50495,Calvary.112-02 Guy Brewer Boulevard,Multifamily Finance Program,08/01/2014,06/15/2016,No,Non Prevailing Wage,420c,8,0,44,0,0,1,53,0,53,53,52
50497,655 Morris Avenue,Multifamily Finance Program,06/26/2014,12/01/2016,No,Non Prevailing Wage,420c,0,0,153,22,0,1,176,0,176,176,0
50509,2605 Grand Concourse,Multifamily Finance Program,12/23/2015,10/16/2018,No,Non Prevailing Wage,421a,0,0,24,69,0,1,94,0,94,94,0
50519,Randolph Houses Phase II,Multifamily Finance Program,06/29/2016,06/20/2018,No,Non Prevailing Wage,420c,8,4,102,0,0,1,115,0,115,115,0
50580,180 Saint Nicholas Avenue HDFC,Multifamily Finance Program,06/24/2014,10/25/2017,No,Non Prevailing Wage,J-51 Enriched,0,0,21,0,0,0,0,21,21,21,0
50583,SECOND ATLANTIC TERMINAL HOUSING CORPORATION,Multifamily Finance Program,06/26/2014,06/29/2017,No,Non Prevailing Wage,J-51,0,0,305,0,0,0,0,305,305,305,0
50609,1095 Bushwick Ave HDFC,Multifamily Finance Program,06/26/2014,10/23/2020,No,Non Prevailing Wage,J-51 Enriched,0,7,6,1,0,1,5,10,15,15,0
50638,Doe.1345 Rogers Ave,Multifamily Finance Program,12/24/2015,01/10/2020,No,Prevailing Wage,420c,115,0,7,0,0,1,123,0,123,123,0
50639,874 WILLOUGHBY AVENUE,Multifamily Incentives Program,05/14/2015,04/04/2023,No,Non Prevailing Wage,421a,0,0,19,0,9,0,28,0,28,93,0
50655,695 GRAND STREET,Multifamily Finance Program,12/22/2015,03/28/2019,No,Non Prevailing Wage,420c,16,13,12,9,0,1,51,0,51,51,0
50682,74 W 105th Street,Multifamily Incentives Program,01/21/2014,01/21/2014,Yes,Non Prevailing Wage,Article XI,0,0,0,10,0,0,10,0,10,10,0
